os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127200,6.17.0-29-generic,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
38.496,25.9767,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,281496809
37.9746,26.3334,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,307830806
40.0352,24.978,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,332809394
39.1805,25.5229,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,358332445
37.7412,26.4962,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,384829389
39.0501,25.6082,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,410438633
37.9362,26.36,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,436798468
39.4378,25.3564,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,462155638
37.4791,26.6816,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,488837740
39.5748,25.2686,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,514106253
36.9784,27.0428,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,541149524
39.3645,25.4036,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,566558161
42.3715,23.6008,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,590156212
36.896,27.1032,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,617260719
39.8757,25.0779,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,642338834
36.6858,27.2585,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,669598181
38.7929,25.7779,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,695378547
38.9079,25.7017,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,721079072
40.2485,24.8456,3.55828,6.9292,64,63,58,800,2800,0.470116,15,11.5662,0,0,4740,745926964
39.3367,25.4216,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,771346772
39.5977,25.254,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,796601730
38.5444,25.9441,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,822545924
37.478,26.6823,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,849228566
39.8809,25.0747,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,874303586
40.2498,24.8448,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,899149153
37.6861,26.535,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,925684279
35.8952,27.8589,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,953546089
40.8958,24.4524,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,977998668
39.1843,25.5204,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1003518443
39.2538,25.4753,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1028995649
38.4361,26.0172,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1055013241
38.9652,25.6639,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1080678190
39.4475,25.3502,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1106028126
39.8569,25.0897,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1131118224
37.4212,26.7228,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1157841493
39.5534,25.2822,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1183124533
37.317,26.7974,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1209922864
40.2302,24.8569,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1234779793
39.676,25.2042,2.44798,9.31545,64,62,59,800,2800,0.470116,19,11.5651,0,0,4740,1259985949
38.0933,26.2513,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1286235857
38.4887,25.9817,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1312218343
39.4582,25.3433,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1337562188
36.7376,27.2201,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1364782472
40.8347,24.489,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1389271619
38.8209,25.7593,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1415031607
40.021,24.9869,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1440019362
38.214,26.1684,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1466187988
39.1281,25.5571,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1491745865
39.1087,25.5698,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1517315665
39.1678,25.5312,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1542848165
38.1609,26.2048,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1569053951
38.7906,25.7794,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1594833806
38.3396,26.0827,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1620916971
38.9641,25.6647,3.31288,13.3456,65,65,60,800,2800,0.470116,12,11.5603,0,0,4718,1646582120
