os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124680,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
40.1892,24.8823,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,179154620
37.9232,26.3691,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,205525034
37.6443,26.5644,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,232090907
40.0696,24.9565,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,257048097
38.5782,25.9214,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,282970878
40.9642,24.4115,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,307384193
37.7019,26.5239,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,333908408
38.576,25.9228,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,359832931
38.8072,25.7684,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,385601702
36.8384,27.1456,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,412749392
39.9599,25.0251,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,437774770
40.188,24.8831,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,462660025
38.551,25.9397,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,488600760
38.4444,26.0116,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,514613289
39.1809,25.5226,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,540137278
39.6185,25.2408,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,565379806
38.1385,26.2202,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,591600559
38.1786,26.1927,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,617793649
39.2912,25.451,7.29665,12.9694,75,71,77,2370,2800,0.473213,28,10.7318,0,0,4639,643249630
36.7222,27.2315,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,670478923
38.6145,25.897,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,696376757
39.9393,25.038,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,721416944
40.2425,24.8493,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,746267874
39.6026,25.2509,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,771520180
39.1408,25.5488,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,797069006
38.6644,25.8636,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,822934228
38.6935,25.8441,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,848779272
37.3534,26.7713,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,875551835
39.4535,25.3463,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,900899371
37.4709,26.6874,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,927588246
39.586,25.2615,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,952850671
39.5097,25.3102,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,978162230
39.8778,25.0766,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1003238555
39.024,25.6253,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1028864526
38.4739,25.9916,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1054857569
39.3404,25.4192,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1080279165
38.9888,25.6484,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1105929482
36.0534,27.7366,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1133666402
39.8488,25.0949,6.57734,13.3246,74,72,79,2586,2800,0.473213,25,10.7304,0,0,4604,1158765290
39.5818,25.2641,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1184027044
37.5142,26.6566,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1210684199
39.4709,25.3351,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1236021376
40.0784,24.9511,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1260974078
39.5647,25.2751,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1286250630
37.8005,26.4547,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1312706105
38.6642,25.8637,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1338570325
39.3134,25.4366,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1364008833
38.6392,25.8804,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1389890847
37.4773,26.6828,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1416578579
40.5518,24.6598,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1441237117
36.8999,27.1003,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1468337888
38.3678,26.0635,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1494404289
40.2215,24.8623,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1519266030
37.5929,26.6008,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1545866969
27.5679,36.2741,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1582142016
38.1191,26.2335,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1608377135
42.3654,23.6042,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1631982828
37.5486,26.6321,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1658615887
39.7297,25.1701,6.35697,13.6339,75,72,80,2556,2800,0.473213,21,10.7298,0,0,4599,1683795237
39.7596,25.1512,6.12981,11.5366,75,70,82,2565,2800,0.473213,29,10.7294,0,0,4584,1708941914
39.841,25.0998,6.12981,11.5366,75,70,82,2565,2800,0.473213,29,10.7294,0,0,4584,1734042685
38.8847,25.717,6.12981,11.5366,75,70,82,2565,2800,0.473213,29,10.7294,0,0,4584,1759759487
38.3157,26.0989,6.12981,11.5366,75,70,82,2565,2800,0.473213,29,10.7294,0,0,4584,1785859783
37.4775,26.6827,6.12981,11.5366,75,70,82,2565,2800,0.473213,29,10.7294,0,0,4584,1812542937
39.5893,25.2593,6.12981,11.5366,75,70,82,2565,2800,0.473213,29,10.7294,0,0,4584,1837803449
